name,description,category_id,stamina,attack,defense,cp_gain,cp_max,buddy_distance,height,weight
Pidgey,"Pidgey has an extremely sharp sense of direction. It is capable of unerringly returning home to its nest, however far it may be removed from its familiar surroundings.",83,80,94,90,8.5,679,1,0.3,1.8
Pidgeotto,"Pidgeotto claims a large area as its own territory. This Pokémon flies around, patrolling its living space. If its territory is violated, it shows no mercy in thoroughly punishing the foe with its sharp claws.",7,126,126,122,16,1223,1,1.09,30
Pidgeot,"This Pokémon has a dazzling plumage of beautifully glossy feathers. Many Trainers are captivated by the striking beauty of the feathers on its head, compelling them to choose Pidgeot as their Pokémon.",7,166,170,166,28,2091,1,1.5,39.5
Rattata,"Rattata is cautious in the extreme. Even while it is asleep, it constantly listens by moving its ears around. It is not picky about where it lives—it will make its nest anywhere.",51,60,92,86,7.2,581,1,0.3,3.5
Raticate,"Raticate’s sturdy fangs grow steadily. To keep them ground down, it gnaws on rocks and logs. It may even chew on the walls of houses.",51,110,146,150,19,1444,1,0.71,18.5
Spearow,"Spearow has a very loud cry that can be heard over half a mile away. If its high, keening cry is heard echoing all around, it is a sign that they are warning each other of danger.",83,80,102,78,8.6,686,1,0.3,2
Fearow,Fearow is recognized by its long neck and elongated beak. They are conveniently shaped for catching prey in soil or water. It deftly moves its long and skinny beak to pluck prey.,6,130,168,146,23.2,1746,1,1.19,38
Ekans,Ekans curls itself up in a spiral while it rests. Assuming this position allows it to quickly respond to a threat from any direction with a glare from its upraised head.,75,70,112,112,10.5,824,3,2.01,6.9
Arbok,"This Pokémon is terrifically strong in order to constrict things with its body. It can even flatten steel oil drums. Once Arbok wraps its body around its foe, escaping its crunching embrace is impossible.",13,120,166,166,23.5,1767,3,3.51,65
Pikachu,"Whenever Pikachu comes across something new, it blasts it with a jolt of electricity. If you come across a blackened berry, it's evidence that this Pokémon mistook the intensity of its charge.",51,70,124,108,11.3,887,1,0.41,6
Raichu,"If the electrical sacs become excessively charged, Raichu plants its tail in the ground and discharges. Scorched patches of ground will be found near this Pokémon's nest.",51,120,200,154,27.1,2028,1,0.79,30
Sandshrew,"Sandshrew's body is configured to absorb water without waste, enabling it to survive in an arid desert. This Pokémon curls up to protect itself from its enemies.",51,100,90,114,10.1,798,3,0.61,12
Sandslash,"Sandslash's body is covered by tough spikes, which are hardened sections of its hide. Once a year, the old spikes fall out, to be replaced with new spikes that grow out from beneath the old ones.",51,150,150,172,24.1,1810,3,0.99,29.5
Nidoran♀,"Nidoran♀ has barbs that secrete a powerful poison. They are thought to have developed as protection for this small-bodied Pokémon. When enraged, it releases a horrible toxin from its horn.",61,110,100,104,11.2,876,3,0.41,7
Nidorina,"When Nidorina are with their friends or family, they keep their barbs tucked away to prevent hurting each other. This Pokémon appears to become nervous if separated from the others.",61,140,132,136,18.4,1404,3,0.79,20
Nidoqueen,Nidoqueen's body is encased in extremely hard scales. It is adept at sending foes flying with harsh tackles. This Pokémon is at its strongest when it is defending its young.,18,180,184,190,33.5,2485,3,1.3,60
Nidoran♂,"Nidoran♂ has developed muscles for moving its ears. Thanks to them, the ears can be freely moved in any direction. Even the slightest sound does not escape this Pokémon's notice.",61,92,110,94,10.7,843,3,0.51,9
Nidorino,"Nidorino has a horn that is harder than a diamond. If it senses a hostile presence, all the barbs on its back bristle up at once, and it challenges the foe with all its might.",61,122,142,128,18,1372,3,0.89,19.5
Nidoking,"Nidoking's thick tail packs enormously destructive power. With one swing, it can topple a metal transmission tower. Once this Pokémon goes on a rampage, there is no stopping it.",18,162,204,170,33.3,2475,3,1.4,62
Clefairy,"On every night of a full moon, groups of this Pokémon come out to play. When dawn arrives, the tired Clefairy return to their quiet mountain retreats and go to sleep nestled up against each other.",23,140,116,124,15.6,1200,1,0.61,7.5
Clefable,"Clefable moves by skipping lightly as if it were flying using its wings. Its bouncy step even lets it walk on water. It is known to take strolls on lakes on quiet, moonlit nights.",23,190,178,178,32.3,2397,1,1.3,40
Vulpix,"At the time of its birth, Vulpix has one white tail. The tail separates into six if this Pokémon receives plenty of love from its trainer. The six tails become magnificently curled.",30,76,106,118,10.6,831,3,0.61,9.9
Ninetales,Ninetales casts a sinister light from its bright red eyes to gain total control over its foe's mind. This Pokémon is said to live for one thousand years.,30,146,176,194,29.3,2188,3,1.09,19.9
Jigglypuff,Jigglypuff's vocal cords can freely adjust the wavelength of its voice. This Pokémon uses this ability to sing at precisely the right wavelength to make its foes most drowsy.,3,230,98,54,11.6,917,1,0.51,5.5
Wigglytuff,"Wigglytuff has large, saucerlike eyes. The surfaces of its eyes are always covered with a thin layer of tears. If any dust gets in this Pokémon's eyes, it is quickly washed away.",3,280,168,108,29.1,2177,1,0.99,12
Zubat,Zubat remains quietly unmoving in a dark spot during the bright daylight hours. It does so because prolonged exposure to the sun causes its body to become slightly burned.,5,80,88,90,8,642,1,0.79,7.5
Golbat,"Golbat loves to drink the blood of living things. It is particularly active in the pitch black of night. This Pokémon flits around in the night skies, seeking fresh blood.",5,150,164,164,25.6,1921,1,1.6,55
Oddish,"During the daytime, Oddish buries itself in soil to absorb nutrients from the ground using its entire body. The more fertile the soil, the glossier its leaves become.",92,90,134,130,14.9,1148,3,0.51,5.4
Gloom,"Gloom releases a foul fragrance from the pistil of its flower. When faced with danger, the stench worsens. If this Pokémon is feeling calm and secure, it does not release its usual stinky aroma.",92,120,162,158,22.4,1689,3,0.79,8.6
Vileplume,"Vileplume's toxic pollen triggers atrocious allergy attacks. That's why it is advisable never to approach any attractive flowers in a jungle, however pretty they may be.",27,150,202,190,33.6,2492,3,1.19,18.6
Paras,Paras has parasitic mushrooms growing on its back called tochukaso. They grow large by drawing nutrients from this Bug Pokémon host. They are highly valued as a medicine for extending life.,52,70,122,120,11.7,916,3,0.3,5.4
Parasect,"Parasect is known to infest large trees en masse and drain nutrients from the lower trunk and roots. When an infested tree dies, they move onto another tree all at once.",52,120,162,170,23.2,1747,3,0.99,29.5
Venonat,"Venonat is said to have evolved with a coat of thin, stiff hair that covers its entire body for protection. It possesses large eyes that never fail to spot even miniscule prey.",39,120,108,118,13.3,1029,3,0.99,30
Venomoth,"Venomoth is nocturnal—it is a Pokémon that only becomes active at night. Its favorite prey are small insects that gather around streetlights, attracted by the light in the darkness.",60,140,172,154,25.2,1890,3,1.5,12.5
Diglett,"Diglett are raised in most farms. The reason is simple—wherever this Pokémon burrows, the soil is left perfectly tilled for planting crops. This soil is made ideal for growing delicious vegetables.",50,20,108,86,5.3,456,3,0.2,0.8
Dugtrio,"Dugtrio are actually triplets that emerged from one body. As a result, each triplet thinks exactly like the other two triplets. They work cooperatively to burrow endlessly.",50,70,148,140,15.1,1168,3,0.71,33.3
Meowth,"Meowth withdraws its sharp claws into its paws to slinkily sneak about without making any incriminating footsteps. For some reason, this Pokémon loves shiny coins that glitter with light.",68,80,104,94,9.6,756,3,0.41,4.2
Persian,Persian has six bold whiskers that give it a look of toughness. The whiskers sense air movements to determine what is in the Pokémon's surrounding vicinity. It becomes docile if grabbed by the whiskers.,12,130,156,146,21.6,1631,3,0.99,32
Psyduck,"Psyduck uses a mysterious power. When it does so, this Pokémon generates brain waves that are supposedly only seen in sleepers. This discovery spurred controversy among scholars.",19,100,132,112,14.4,1109,3,0.79,19.6
Golduck,The webbed flippers on its forelegs and hind legs and the streamlined body of Golduck give it frightening speed. The Pokémon is definitely much faster than even the most athletic swimmer.,19,160,194,176,32.1,2386,3,1.7,76.6
Mankey,"When Mankey starts shaking and its nasal breathing turns rough, it's a sure sign that it is becoming angry. However, because it goes into a towering rage almost instantly, it is impossible for anyone to flee its wrath.",56,80,122,96,11.2,878,3,0.51,28
Primeape,"When Primeape becomes furious, its blood circulation is boosted. In turn, its muscles are made even stronger. However, it also becomes much less intelligent at the same time.",56,130,178,150,24.8,1864,3,0.99,32
Growlithe,"Growlithe has a superb sense of smell. Once it smells anything, this Pokémon won't forget the scent, no matter what. It uses its advanced olfactory sense to determine the emotions of other living things.",64,110,156,110,17.5,1335,3,0.71,19
Arcanine,"Arcanine is known for its high speed. It is said to be capable of running over 6,200 miles in a single day and night. The fire that blazes wildly within this Pokémon's body is its source of power.",42,180,230,180,40.5,2983,3,1.91,155
Poliwag,"Poliwag has a very thin skin. It is possible to see the Pokémon's spiral innards right through the skin. Despite its thinness, however, the skin is also very flexible. Even sharp fangs bounce right off it.",82,80,108,98,10.1,795,3,0.61,12.4
Poliwhirl,"The surface of Poliwhirl's body is always wet and slick with an oily fluid. Because of this greasy covering, it can easily slip and slide out of the clutches of any enemy in battle.",82,130,132,132,17.6,1340,3,0.99,20
Poliwrath,"Poliwrath's highly developed, brawny muscles never grow fatigued, however much it exercises. It is so tirelessly strong, this Pokémon can swim back and forth across the ocean without effort.",82,180,180,202,33.8,2505,3,1.3,54
Abra,"Abra sleeps for eighteen hours a day. However, it can sense the presence of foes even while it is sleeping. In such a situation, this Pokémon immediately teleports to safety.",62,50,110,76,7.4,600,3,0.89,19.5
Kadabra,Kadabra emits a peculiar alpha wave if it develops a headache. Only those people with a particularly strong psyche can hope to become a trainer of this Pokémon.,62,80,150,112,14.6,1131,3,1.3,56.5
Alakazam,"Alakazam's brain continually grows, making its head far too heavy to support with its neck. This Pokémon holds its head up using its psychokinetic power instead.",62,110,186,152,24.1,1813,3,1.5,48
Machop,Machop's muscles are special—they never get sore no matter how much they are used in exercise. This Pokémon has sufficient power to hurl a hundred adult humans.,81,140,118,96,14.1,1089,3,0.79,19.5
Machoke,"Machoke's thoroughly toned muscles possess the hardness of steel. This Pokémon has so much strength, it can easily hold aloft a sumo wrestler on just one finger.",81,160,154,144,23.4,1760,3,1.5,70.5
Machamp,"Machamp has the power to hurl anything aside. However, trying to do any work requiring care and dexterity causes its arms to get tangled. This Pokémon tends to leap into action before it thinks.",81,180,198,180,35,2594,3,1.6,130
Bellsprout,"Bellsprout's thin and flexible body lets it bend and sway to avoid any attack, however strong it may be. From its mouth, this Pokémon spits a corrosive fluid that melts even iron.",27,100,158,78,14.4,1117,3,0.71,4
Weepinbell,"Weepinbell has a large hook on its rear end. At night, the Pokémon hooks on to a tree branch and goes to sleep. If it moves around in its sleep, it may wake up to find itself on the ground.",28,130,190,110,22.8,1723,3,0.99,6.4
Victreebel,"Victreebel has a long vine that extends from its head. This vine is waved and flicked about as if it were an animal to attract prey. When an unsuspecting prey draws near, this Pokémon swallows it whole.",28,160,222,152,34.1,2530,3,1.7,15.5
Tentacool,"Tentacool's body is largely composed of water. If it is removed from the sea, it dries up like parchment. If this Pokémon happens to become dehydrated, put it back into the sea.",40,80,106,136,11.6,905,3,0.89,45.5
Tentacruel,Tentacruel has large red orbs on its head. The orbs glow before lashing the vicinity with a harsh ultrasonic blast. This Pokémon's outburst creates rough waves around it.,40,160,170,196,29.8,2220,3,1.6,55
Geodude,"The longer a Geodude lives, the more its edges are chipped and worn away, making it more rounded in appearance. However, this Pokémon's heart will remain hard, craggy, and rough always.",66,80,106,118,10.8,849,1,0.41,20
Graveler,"Graveler grows by feeding on rocks. Apparently, it prefers to eat rocks that are covered in moss. This Pokémon eats its way through a ton of rocks on a daily basis.",66,110,142,156,18.8,1433,1,0.99,105
Golem,"Golem live up on mountains. If there is a large earthquake, these Pokémon will come rolling down off the mountains en masse to the foothills below.",49,160,176,198,30.9,2303,1,1.4,300
Ponyta,Ponyta is very weak at birth. It can barely stand up. This Pokémon becomes stronger by stumbling and falling to keep up with its parent.,24,100,168,138,20,1516,3,0.99,30
Rapidash,"Rapidash usually can be seen casually cantering in the fields and plains. However, when this Pokémon turns serious, its fiery manes flare and blaze as it gallops its way up to 150 mph.",24,130,200,170,29.5,2199,3,1.7,95
Slowpoke,"Slowpoke uses its tail to catch prey by dipping it in water at the side of a river. However, this Pokémon often forgets what it's doing and often spends entire days just loafing at water's edge.",16,180,110,110,15.9,1218,3,1.19,36
Slowbro,"Slowbro's tail has a Shellder firmly attached with a bite. As a result, the tail can't be used for fishing anymore. This causes Slowbro to grudgingly swim and catch prey instead.",36,190,184,198,35.1,2597,3,1.6,78.5
Magnemite,"Magnemite attaches itself to power lines to feed on electricity. If your house has a power outage, check your circuit breakers. You may find a large number of this Pokémon clinging to the breaker box.",47,50,128,138,11.3,890,3,0.3,6
Magneton,"Magneton emits a powerful magnetic force that is fatal to mechanical devices. As a result, large cities sound sirens to warn citizens of large-scale outbreaks of this Pokémon.",47,100,186,180,25,1879,3,0.99,60
Farfetch'D,"Farfetch'd is always seen with a stalk from a plant of some sort. Apparently, there are good stalks and bad stalks. This Pokémon has been known to fight with others over stalks.",94,104,138,132,16.5,1263,3,0.79,15
Doduo,"Doduo's two heads never sleep at the same time. Its two heads take turns sleeping, so one head can always keep watch for enemies while the other one sleeps.",89,70,126,96,10.9,855,3,1.4,39.2
Dodrio,Watch out if Dodrio's three heads are looking in three separate directions. It's a sure sign that it is on its guard. Don't go near this Pokémon if it's being wary-it may decide to peck you.,87,120,182,150,24.4,1836,3,1.8,85.2
Seel,"Seel hunts for prey in the frigid sea underneath sheets of ice. When it needs to breathe, it punches a hole through the ice with the sharply protruding section of its head.",69,130,104,138,14.3,1107,3,1.09,90
Dewgong,Dewgong loves to snooze on bitterly cold ice. The sight of this Pokémon sleeping on a glacier was mistakenly thought to be a mermaid by a mariner long ago.,69,180,156,192,28.7,2145,3,1.7,120
Grimer,"Grimer's sludgy and rubbery body can be forced through any opening, however small it may be. This Pokémon enters sewer pipes to drink filthy wastewater.",74,160,124,110,16.8,1284,3,0.89,30
Muk,From Muk's body seeps a foul fluid that gives off a nose-bendingly horrible stench. Just one drop of this Pokémon's body fluid can turn a pool stagnant and rancid.,74,210,180,188,35.1,2602,3,1.19,30
Shellder,"At night, this Pokémon uses its broad tongue to burrow a hole in the seafloor sand and then sleep in it. While it is sleeping, Shellder closes its shell, but leaves its tongue hanging out.",8,60,120,112,10.4,822,3,0.3,4
Cloyster,"Cloyster is capable of swimming in the sea. It does so by swallowing water, then jetting it out toward the rear. This Pokémon shoots spikes from its shell using the same system.",8,100,196,196,27.4,2052,3,1.5,132.5
Gastly,"Gastly is largely composed of gaseous matter. When exposed to a strong wind, the gaseous body quickly dwindles away. Groups of this Pokémon cluster under the eaves of houses to escape the ravages of wind.",32,60,136,82,10.1,804,3,1.3,0.1
Haunter,"Haunter is a dangerous Pokémon. If one beckons you while floating in darkness, you must never approach it. This Pokémon will try to lick you with its tongue and steal your life away.",32,90,172,118,18,1380,3,1.6,0.1
Gengar,"Sometimes, on a dark night, your shadow thrown by a streetlight will suddenly and startlingly overtake you. It is actually a Gengar running past you, pretending to be your shadow.",71,120,204,156,27.8,2078,3,1.5,40.5
Onix,"Onix has a magnet in its brain. It acts as a compass so that this Pokémon does not lose direction while it is tunneling. As it grows older, its body becomes increasingly rounder and smoother.",67,70,90,186,10.9,857,5,8.79,210
Drowzee,"If your nose becomes itchy while you are sleeping, it's a sure sign that one of these Pokémon is standing above your pillow and trying to eat you dream through your nostrils.",38,120,104,140,13.9,1075,3,0.99,32.4
Hypno,"Hypno holds a pendulum in its hand. The arcing movement and glitter of the pendulum lull the foe into a deep state of hypnosis. While this Pokémon searches for prey, it polishes the pendulum.",38,170,162,196,29.3,2184,3,1.6,75.6
Krabby,"Krabby live on beaches, burrowed inside holes dug into the sand. On sandy beaches with little in the way of food, these Pokémon can be seen squabbling with each other over territory.",65,60,116,110,10,792,3,0.41,6.5
Kingler,"Kingler has an enormous, oversized claw. It waves this huge claw in the air to communicate with others. However, because the claw is so heavy, the Pokémon quickly tires.",57,110,178,168,24.2,1823,3,1.3,60
Voltorb,Voltorb was first sighted at a company that manufactures Poké Balls. The link between that sighting and the fact that this Pokémon looks very similar to a Poké Ball remains a mystery.,2,80,102,124,10.7,839,3,0.51,10.4
Electrode,"Electrode eats electricity in the atmosphere. On days when lightning strikes, you can see this Pokémon exploding all over the place from eating too much electricity.",2,120,150,174,21.8,1646,3,1.19,66.6
Exeggcute,"This Pokémon consists of six eggs that form a closely knit cluster. The six eggs attract each other and spin around. When cracks increasingly appear on the eggs, Exeggcute is close to evolution.",20,120,110,132,14.2,1099,3,0.41,2.5
Exeggutor,"Exeggutor originally came from the tropics. Its heads steadily grow larger from exposure to strong sunlight. It is said that when the heads fall off, they group together to form Exeggcute.",14,190,232,164,40.1,2955,3,2.01,120
Cubone,"Cubone pines for the mother it will never see again. Seeing a likeness of its mother in the full moon, it cries. The stains on the skull the Pokémon wears are made by the tears it sheds.",46,100,102,150,13,1006,3,0.41,6.5
Marowak,Marowak is the evolved form of a Cubone that has overcome its sadness at the loss of its mother and grown tough. This Pokémon's tempered and hardened spirit is not easily broken.,9,120,140,202,21.9,1656,3,0.99,45
Hitmonlee,"Hitmonlee's legs freely contract and stretch. Using these springlike legs, it bowls over foes with devastating kicks. After battle, it rubs down its legs and loosens the muscles to overcome fatigue.",41,100,148,172,19.6,1492,5,1.5,49.8
Hitmonchan,Hitmonchan is said to possess the spirit of a boxer who had been working toward a world championship. This Pokémon has an indomitable spirit and will never give up in the face of adversity.,63,100,138,204,19.9,1516,5,1.4,50.2
Lickitung,"Whenever Lickitung comes across something new, it will unfailingly give it a lick. It does so because it memorizes things by texture and by taste. It is somewhat put off by sour things.",43,180,126,160,21.5,1626,3,1.19,65.5
Koffing,"If Koffing becomes agitated, it raises the toxicity of its internal gases and then jets them out from all over its body. This Pokémon may also overinflate its round body, then explode.",59,80,136,142,14.9,1151,3,0.61,1
Weezing,"Weezing loves the gases given off by rotted kitchen garbage. This Pokémon will find a dirty, unkempt house and make it its home. At night, when the people in the house are asleep, it will go through the trash.",59,130,190,198,30.2,2250,3,1.19,9.5
Rhyhorn,"Rhyhorn runs in a straight line, smashing everything in its path. It is not bothered even if it rushes headlong into a block of steel. This Pokémon may feel some pain from the collision the next day, however.",76,160,110,116,15.4,1182,3,0.99,115
Rhydon,Rhydon's horn can crush even uncut diamonds. One sweeping blow of its tail can topple a building. This Pokémon's hide is extremely tough. Even direct cannon hits don't leave a scratch.,18,210,166,160,30.1,2243,3,1.91,120
Chansey,"Chansey lays nutritionally excellent eggs on an everyday basis. The eggs are so delicious, they are easily and eagerly devoured by even those people who have lost their appetite.",20,500,40,60,8,675,5,1.09,34.6
Tangela,"Tangela's vines snap off easily if they are grabbed. This happens without pain, allowing it to make a quick getaway. The lost vines are replaced by newly grown vines the very next day.",90,130,164,152,23.1,1739,3,0.99,35
Kangaskhan,"If you come across a young Kangaskhan playing by itself, you must never disturb it or attempt to catch it. The baby Pokémon's parent is sure to be in the area, and it will become violently enraged at you.",55,210,142,178,27.3,2043,3,2.21,80
Horsea,"Horsea eats small insects and moss off of rocks. If the ocean current turns fast, this Pokémon anchors itself by wrapping its tail around rocks or coral to prevent being washed away.",17,60,122,100,10,794,3,0.41,8
Seadra,Seadra sleeps after wriggling itself between the branches of coral. Those trying to harvest coral are occasionally stung by this Pokémon's poison barbs if they fail to notice it.,17,110,176,150,22.7,1713,3,1.19,25
Goldeen,"Goldeen is a very beautiful Pokémon with fins that billow elegantly in water. However, don't let your guard down around this Pokémon—it could ram you powerfully with its horn.",34,90,112,126,12.4,965,3,0.61,15
Seaking,"In the autumn, Seaking males can be seen performing courtship dances in riverbeds to woo females. During this season, this Pokémon's body coloration is at its most beautiful.",34,160,172,160,27.3,2043,3,1.3,39
Staryu,"Staryu's center section has an organ called the core that shines bright red. If you go to a beach toward the end of summer, the glowing cores of these Pokémon look like the stars in the sky.",80,60,130,128,12,937,3,0.79,34.5
Starmie,"Starmie's center section-the core-glows brightly in seven colors. Because of its luminous nature, this Pokémon has been given the nickname "the gem of the sea."""tarmie's center sect",53,120,194,192,29.2,2182,3,1.09,80
Mr. Mime,"Mr. Mime is a master of pantomime. Its gestures and motions convince watchers that something unseeable actually exists. Once the watchers are convinced, the unseeable thing exists as if it were real.",4,80,154,196,19.6,1494,5,1.3,54.5
Scyther,"Scyther is blindingly fast. Its blazing speed enhances the effectiveness of the twin scythes on its forearms. This Pokémon's scythes are so effective, they can slice through thick logs in one wicked stroke.",48,140,176,180,27.7,2073,5,1.5,56
Jynx,"Jynx walks rhythmically, swaying and shaking its hips as if it were dancing. Its motions are so bouncingly alluring, people seeing it are compelled to shake their hips without giving any thought to what they are doing.",37,130,172,134,22.8,1716,5,1.4,40.6
Electabuzz,"When a storm arrives, gangs of this Pokémon compete with each other to scale heights that are likely to be stricken by lightning bolts. Some towns use Electabuzz in place of lightning rods.",21,130,198,160,28.3,2119,5,1.09,30
Magmar,"In battle, Magmar blows out intensely hot flames from all over its body to intimidate its opponent. This Pokémon's fiery bursts create heat waves that ignite grass and trees in its surroundings.",78,130,214,158,30.4,2265,5,1.3,44.5
Pinsir,Pinsir is astoundingly strong. It can grip a foe weighing twice its weight in its horns and easily lift it. This Pokémon's movements turn sluggish in cold places.,79,130,184,186,28.4,2121,5,1.5,55
Tauros,"This Pokémon is not satisfied unless it is rampaging at all times. If there is no opponent for Tauros to battle, it will charge at thick trees and knock them down to calm itself.",93,150,148,184,24.5,1844,3,1.4,88.4
Magikarp,Magikarp is a pathetic excuse for a Pokémon that is only capable of flopping and splashing. This behavior prompted scientists to undertake research into it.,25,40,42,84,3,262,1,0.89,10
Gyarados,"When Magikarp evolves into Gyarados, its brain cells undergo a structural transformation. It is said that this transformation is to blame for this Pokémon's wildly violent nature.",1,190,192,196,36.4,2688,1,6.5,235
Lapras,"People have driven Lapras almost to the point of extinction. In the evenings, this Pokémon is said to sing plaintively as it seeks what few others of its kind still remain.",86,260,186,190,40.4,2980,5,2.49,220
Ditto,"Ditto rearranges its cell structure to transform itself into other shapes. However, if it tries to transform itself into something by relying on its memory, this Pokémon manages to get details wrong.",85,96,110,110,11.8,919,3,0.3,4
Eevee,Eevee has an unstable genetic makeup that suddenly mutates due to the environment in which it lives. Radiation from various stones causes this Pokémon to evolve.,22,110,114,128,13.9,1077,5,0.3,6.5
Vaporeon,Vaporeon underwent a spontaneous mutation and grew fins and gills that allow it to live underwater. This Pokémon has the ability to freely control water.,10,260,186,168,38.1,2816,5,0.99,29
Jolteon,"Jolteon's cells generate a low level of electricity. This power is amplified by the static electricity of its fur, enabling the Pokémon to drop thunderbolts. The bristling fur is made of electrically charged needles.",44,130,192,174,28.6,2140,5,0.79,24.5
Flareon,"Flareon's fluffy fur has a functional purpose-it releases heat into the air so that its body does not get excessively hot. This Pokémon's body temperature can rise to a maximum of 1,650 degrees Fahrenheit.",26,130,238,178,35.6,2643,5,0.89,25
Porygon,Porygon is capable of reverting itself entirely back to program data and entering cyberspace. This Pokémon is copy-protected so it cannot be duplicated by copying.,91,130,156,158,22.4,1691,3,0.79,36.5
Omanyte,"Omanyte is one of the ancient and long-since-extinct Pokémon that have been regenerated from fossils by people. If attacked by an enemy, it withdraws itself inside its hard shell.",77,70,132,160,14.4,1119,5,0.41,7.5
Omastar,"Omastar uses its tentacles to capture its prey. It is believed to have become extinct because its shell grew too large and heavy, causing its movements to become too slow and ponderous.",77,140,180,202,30,2233,5,0.99,35
Kabuto,"Kabuto is a Pokémon that has been regenerated from a fossil. However, in extremely rare cases, living examples have been discovered. The Pokémon has not changed at all for 300 million years.",72,60,148,142,14.2,1104,5,0.51,11.5
Kabutops,Kabutops swam underwater to hunt for its prey in ancient times. The Pokémon was apparently evolving from being a water-dweller to living on land as evident from the beginnings of change in its gills and legs.,72,120,190,190,28.5,2130,5,1.3,40.5
Aerodactyl,Aerodactyl is a Pokémon from the age of dinosaurs. It was regenerated from genetic material extracted from amber. It is imagined to have been the king of the skies in ancient times.,29,160,182,162,29,2165,5,1.8,59
Snorlax,Snorlax's typical day consists of nothing more than eating and sleeping. It is such a docile Pokémon that there are children who use its expansive belly as a place to play.,73,320,180,180,42.2,3112,5,2.11,460
Articuno,"Articuno is a legendary bird Pokémon that can control ice. The flapping of its wings chills the air. As a result, it is said that when this Pokémon flies, snow will fall.",31,180,198,242,40.4,2978,5,1.7,55.4
Zapdos,Zapdos is a legendary bird Pokémon that has the ability to control electricity. It usually lives in thunderclouds. The Pokémon gains power if it is stricken by lightning bolts.,21,180,232,194,42.3,3114,5,1.6,52.6
Moltres,"Moltres is a legendary bird Pokémon that has the ability to control fire. If this Pokémon is injured, it is said to dip its body in the molten magma of a volcano to burn and heal itself.",26,180,242,194,44.1,3240,5,2.01,60
Dratini,Dratini continually molts and sloughs off its old skin. It does so because the life energy within its body steadily builds to reach uncontrollable levels.,17,82,128,110,12.6,983,5,1.8,3.3
Dragonair,Dragonair stores an enormous amount of energy inside its body. It is said to alter weather conditions in its vicinity by discharging energy from its crystals on its neck and tail.,17,122,170,152,23.2,1747,5,3.99,16.5
Dragonite,Dragonite is capable of circling the globe in just 16 hours. It is a kindhearted Pokémon that leads lost and foundering ships in a storm to the safety of land.,17,182,250,212,47.7,3500,5,2.21,210
