name,description,type_id,power,energy,cooldown_time,attack_speed_id
Rock Throw,The user picks up and throws a small rock at the target to attack.,16,12,7,1.36,2
Scratch,"Hard, pointed, sharp claws rake the target to inflict damage.",13,6,7,0.5,2
Shadow Claw,The user slashes with a sharp claw made from shadows. Critical hits land more easily..,9,11,7,0.95,2
Spark,The user throws an electrically charged tackle at the target.,4,7,4,0.7,2
Splash,The user just flops and splashes around to no effect at all.,18,0,7,1.23,2
Steel Wing,The target is hit with wings of steel.,17,15,4,1.33,2
Sucker Punch,This move enables the user to attack first.,2,7,4,0.7,2
Tackle,A physical attack in which the user charges and slams into the target with its whole body.,13,12,7,1.1,2
Thunder Shock,A jolt of electricity crashes down on the target to inflict damage.,4,5,7,0.6,2
Vine Whip,"The target is struck with slender, whiplike vines to inflict damage.",10,7,7,0.65,2
Water Gun,The target is blasted with a forceful shot of water.,18,6,7,0.5,2
Wing Attack,"The target is struck with large, imposing wings spread wide to inflict damage.",8,9,7,0.75,2
Zen Headbutt,The user focuses its willpower to its head and attacks the target.,15,12,4,1.05,2
Aerial Ace,"The user confounds the target with speed, then slashes.",8,30,-25,2.9,1
Air Cutter,The user launches razor-like wind to slash the opposing Pokémon. Critical hits land more easily.,8,30,-25,3.3,1
Ancient Power,The user attacks with a prehistoric power.,16,35,-25,3.6,1
Aqua Jet,The user lunges at the target at a speed that makes it almost invisible.,18,25,-20,2.35,1
Aqua Tail,The user attacks by swinging its tail as if it were a vicious wave in a raging storm.,18,45,-50,2.35,1
Blizzard,A howling blizzard is summoned to strike opposing Pokémon.,12,100,-100,3.9,1
Body Slam,The user drops onto the target with its full body weight.,13,40,-50,1.56,1
Bone Club,The user clubs the target with a bone.,11,25,-25,1.6,1
Brick Break,The user attacks with a swift chop.,6,30,-33,1.6,1
Brine,"If the target's HP is half or less, this attack will hit with double the power.",18,25,-25,2.4,1
Bubble Beam,A spray of bubbles is forcefully ejected at the target.,18,30,-25,2.9,1
Bug Buzz,The user vibrates its wings to generate a damaging sound wave.,1,75,-50,4.25,1
Bulldoze,The user strikes everything around it by stomping down on the ground.,11,35,-25,3.4,1
Cross Chop,The user delivers a double chop with its forearms crossed. Critical hits land more easily.,6,60,-100,2,1
Cross Poison,A slashing attack with a poisonous blade that may also poison the target. Critical hits land more easily.,14,25,-25,1.5,1
Dark Pulse,The user releases a horrible aura imbued with dark thoughts.,2,45,-33,3.5,1
Dazzling Gleam,The user damages opposing Pokémon by emitting a powerful flash.,5,55,-33,4.2,1
Dig,"The user burrows, then attacks on the next turn.",11,70,-33,5.8,1
Disarming Voice,"Letting out a charming cry, the user does emotional damage to opposing Pokémon.",5,25,-20,3.9,1
Discharge,The user strikes everything around it by letting loose a flare of electricity.,4,35,-33,2.5,1
Dragon Claw,"The user slashes the target with huge, sharp claws.",3,35,-50,1.6,1
Dragon Pulse,The target is attacked with a shock wave generated by the user's gaping mouth.,3,65,-50,3.6,1
Draining Kiss,The user steals the target's energy with a kiss. The user's HP is restored by over half of the damage taken by the target.,5,25,-20,2.8,1
Drill Peck,A corkscrewing attack with a sharp beak acting as a drill.,8,40,-33,2.7,1
Drill Run,The user crashes into its target while rotating its body like a drill. Critical hits land more easily.,11,50,-33,3.4,1
Earthquake,The user sets off an earthquake that strikes every Pokémon around it.,11,100,-100,4.2,1
Fire Blast,The target is attacked with an intense blast of all-consuming fire.,7,100,-100,4.1,1
Fire Punch,The target is punched with a fiery fist.,7,40,-33,2.8,1
Flame Burst,The user attacks the target with a bursting flame.,7,30,-25,2.1,1
Flame Charge,"Cloaking itself in flame, the user attacks.",7,25,-20,3.1,1
Flame Wheel,The user cloaks itself in fire and charges at the target.,7,40,-25,4.6,1
Flamethrower,The target is scorched with an intense blast of fire.,7,55,-50,2.9,1
Flash Cannon,The user gathers all its light energy and releases it at once.,17,60,-33,3.9,1
Gunk Shot,The user shoots filthy garbage at the target to attack.,14,65,-100,3,1
Heat Wave,The user attacks by exhaling hot breath on the opposing Pokémon.,7,80,-100,3.8,1
Horn Attack,The target is jabbed with a sharply pointed horn to inflict damage.,13,25,-25,2.2,1
Hurricane,The user attacks by wrapping its opponent in a fierce wind that flies up into the sky.,8,80,-100,3.2,1
Hydro Pump,The target is blasted by a huge volume of water launched under great pressure.,18,90,-100,3.8,1
Hyper Beam,The target is attacked with a powerful beam.,13,120,-100,5,1
Hyper Fang,The user bites hard on the target with its sharp front fangs.,13,35,-33,2.1,1
Ice Beam,The target is struck with an icy-cold beam of energy.,12,65,-50,3.65,1
Ice Punch,The target is punched with an icy fist.,12,45,-33,3.5,1
Icy Wind,The user attacks with a gust of chilled air.,12,25,-20,3.8,1
Iron Head,The user slams the target with its steel-hard head.,17,30,-33,2,1
Leaf Blade,The user handles a sharp leaf like a sword and attacks by cutting its target. Critical hits land more easily..,10,55,-50,2.8,1
Low Sweep,"The user makes a swift attack on the target's legs, which lowers the target's Speed stat.",6,30,-25,2.25,1
Magnet Bomb,The user launches steel bombs that stick to the target.,17,30,-25,2.8,1
Megahorn,"Using its tough and impressive horn, the user rams into the target with no letup.",1,80,-100,3.2,1
Moonblast,"Borrowing the power of the moon, the user attacks the target.",5,85,-100,4.1,1
Mud Bomb,The user launches a hard-packed mud ball to attack.,11,30,-25,2.6,1
Night Slash,The user slashes the target the instant an opportunity arises. Critical hits land more easily..,2,30,-25,2.7,1
Ominous Wind,The user blasts the target with a gust of repulsive wind.,9,30,-25,3.1,1
Petal Blizzard,The user stirs up a violent petal blizzard and attacks everything around it.,10,65,-50,3.2,1
Play Rough,The user plays rough with the target and attacks it.,5,55,-50,2.9,1
Poison Fang,The user bites the target with toxic fangs.,14,25,-20,2.4,1
Power Gem,The user attacks with a ray of light that sparkles as if it were made of gemstones.,16,40,-33,2.9,1
Power Whip,The user violently whirls its vines or tentacles to harshly lash the target.,10,70,-100,2.8,1
Psybeam,The target is attacked with a peculiar ray.,15,40,-25,3.8,1
Psychic,The target is hit by a strong telekinetic force.,15,55,-50,2.8,1
Psyshock,The user materializes an odd psychic wave to attack the target.,15,40,-33,2.7,1
Rock Slide,Large boulders are hurled at the opposing Pokémon to inflict damage.,16,50,-33,3.2,1
Rock Tomb,Boulders are hurled at the target.,16,30,-25,3.4,1
Scald,The user shoots boiling hot water at its target.,18,55,-33,4,1
Seed Bomb,The user slams a barrage of hard-shelled seeds on the target from above.,10,40,-33,2.4,1
Shadow Ball,The user hurls a shadowy blob at the target.,9,45,-33,3.08,1
Signal Beam,The user attacks with a sinister beam of light.,1,45,-33,3.1,1
Sludge,Unsanitary sludge is hurled at the target.,14,30,-25,2.6,1
Sludge Bomb,Unsanitary sludge is hurled at the target.,14,55,-50,2.6,1
Sludge Wave,The user strikes everything around it by swamping the area with a giant sludge wave.,14,70,-100,3.4,1
Solar Beam,A two-turn attack.,10,120,-100,4.9,1
Stomp,The target is stomped with a big foot.,13,30,-25,2.1,1
Stone Edge,The user stabs the target with sharpened stones from below. Critical hits land more easily..,16,80,-100,3.1,1
Struggle,"While resisting, the user attacks the opposing Pokémon.",13,15,-20,1.7,1
Submission,The user grabs the target and recklessly dives for the ground.,6,30,-33,2.1,1
Swift,Star-shaped rays are shot at the opposing Pokémon.,13,30,-25,3,1
Thunder,A wicked thunderbolt is dropped on the target to inflict damage.,4,100,-100,4.3,1
Thunder Punch,The target is punched with an electrified fist.,4,40,-33,2.4,1
Thunderbolt,A strong electric blast crashes down on the target.,4,55,-50,2.7,1
Twister,The user whips up a vicious tornado to tear at the opposing Pokémon.,3,25,-20,2.7,1
Vice Grip,The target is gripped and squeezed from both sides to inflict damage.,13,25,-20,2.1,1
Water Pulse,The user attacks the target with a pulsing blast of water.,18,35,-25,3.3,1
Wrap,A long body or vines are used to wrap and squeeze the target for four to five turns.,13,25,-20,4,1
X-Scissor,The user slashes at the target by crossing its scythes or claws as if they were a pair of scissors.,1,35,-33,2.1,1
